FieldName,ExpectedDirection,H2r,H2rPval,BP_beta,BP_H2r,BP_H2rPval,BP_pval,ok.direction,Variablefullname,BP1_h2rpval,BP1_h2r,BP0_h2rpval,BP0_h2r,CR201_h2rpval,CR201_h2r,CR201_BP1_h2rpval,CR201_BP1_h2r,CR201_BP0_h2rpval,CR201_BP0_h2r,Domain,Construct,Num_BP,Num_nonBP,Num_naBP
anxious_factor,+,0.227,2.75E-07,-0.071,0.222,4.58E-07,1.60E-01,no,TEMPS anxiety factor,1.09E-05,0.684274575,0.0019651,0.196802927,0.00289715,0.349206059,0.0026642,1,0.0350557,0.426986737,Self-report questionnaire,anxiety,177,548,5
hyperthymic_factor,+,0.210,5.32E-05,-0.009,0.209,3.94E-05,4.57E-01,no,TEMPS hyperthymic factor,0.482138,0.008375086,1.20E-05,0.301288114,0.00336415,0.337637989,0.266094,0.265228341,0.0086145,0.376532476,Self-report questionnaire,mood:elevated,177,548,5
PDI_Sum,+,0.226,2.93E-07,0.523,0.253,3.58E-08,8.21E-12,yes,Peters Delusion Inventory total score,0.027107,0.272010775,4.26E-05,0.254950806,0.001739,0.362756366,0.5,0,0.0061804,0.449798416,Self-report questionnaire,delusion-proneness,176,548,5
RAD,+,0.223,1.97E-06,0.276,0.216,3.15E-06,9.58E-05,yes,Barron Welsh Revised Art Scale-Dislike Scale,0.00058305,0.486447297,0.03364925,0.121151577,0.41666305,0.021738427,0.270436,0.240441133,0.5,0,Self-report questionnaire,Perceptual creativity,176,544,5
RAL,-,0.177,9.09E-05,0.300,0.174,1.07E-04,1.39E-04,no,Barron Welsh Revised Art Scale-Like Scale,0.00140595,0.55353532,0.0869168,0.088611615,0.5,0,0.05343605,0.749901294,0.5,0,Self-report questionnaire,Perceptual creativity,176,544,5
SSS_Sum,+,0.306,1.35E-08,0.160,0.301,2.03E-08,1.31E-02,yes,Sensation Seeking Scale- total score,0.01632265,0.380656923,2.27E-06,0.357237645,0.1708194,0.082767491,0.03843025,0.652445885,0.16501015,0.109591788,Self-report questionnaire,sensation-seeking|novelty-seeking,177,548,5
LMIIRaw,-,0.463,1.39E-16,-0.229,0.467,2.15E-17,1.29E-04,yes,WMS Logical Memory-Delay,0.00172065,0.493509983,3.38E-11,0.467490909,2.90E-05,0.433372483,0.27772945,0.182608168,8.04E-05,0.546111431,Neuropsych- paper/pencil (examiner-administered),Verbal learning|memory,177,548,5
LMIRaw,-,0.358,1.03E-12,-0.302,0.371,3.33E-14,2.11E-06,yes,WMS Logical Memory-Immediate,0.00081985,0.589589894,1.71E-09,0.40061502,0.01029495,0.213898206,0.37892635,0.114228418,0.0034102,0.396035041,Neuropsych- paper/pencil (examiner-administered),Verbal learning|memory,177,548,5
LMRecTotal,-,0.334,2.55E-10,-0.296,0.333,6.72E-11,1.05E-05,yes,WMS Logical Memory-Recognition,0.03584165,0.292520709,3.74E-08,0.396588601,0.00172065,0.376404634,0.3561462,0.138561408,0.00538925,0.395762803,Neuropsych- paper/pencil (examiner-administered),Verbal learning|memory,175,545,5
StroopCWE,+,0.196,2.03E-04,0.286,0.213,5.57E-05,4.29E-05,yes,Stroop Color-word test of errors,0.2126532,0.123780501,0.00066605,0.246078004,1.04E-05,0.473484495,0.027624,1,0.0029184,0.416868412,Neuropsych- paper/pencil (examiner-administered),Response inhibition,166,524,3
StroopCWT,+,0.301,1.98E-06,0.292,0.315,1.87E-07,1.05E-05,yes,Stroop Color-word test time in seconds),0.06597615,0.421199222,3.56E-05,0.335773627,6.71E-05,0.55620406,0.03852845,1,0.01423805,0.41463496,Neuropsych- paper/pencil (examiner-administered),Response inhibition,166,524,3
WASIRaw,-,0.348,1.39E-11,-0.059,0.356,3.00E-13,1.51E-01,yes,Raw WASI Vocabulary score,0.00061045,0.660498578,3.93E-06,0.283441278,0.03800095,0.165287873,0.1167539,0.615832158,0.28366275,0.05627396,Neuropsych- paper/pencil (examiner-administered),Verbal IQ,177,545,5
WMSIITotal,-,0.299,8.22E-07,-0.166,0.296,6.32E-07,2.02E-03,yes,WMS Visual Reproduction-Delay,0.2683949,0.131608624,1.58E-06,0.377768637,0.27262545,0.080602177,0.1575348,0.463505152,0.24552335,0.187869762,Neuropsych- paper/pencil (examiner-administered),Visual learning|memory,175,541,5
WMSITotal,-,0.346,1.44E-08,-0.151,0.354,3.15E-09,3.26E-03,yes,WMS  Visual Reproduction-Immediate,0.1324822,0.228719573,2.21E-06,0.395425885,0.00457835,0.379180218,0.1147098,0.630728816,0.00907585,0.572879565,Neuropsych- paper/pencil (examiner-administered),Visual learning|memory,175,544,5
CVLT_trials1_5,-,0.265,5.44E-07,-0.252,0.264,1.32E-07,2.16E-05,yes,Calif Verbal Learning Test/  total score trials 1-5,0.22819125,0.121012486,7.53E-07,0.339499581,0.08643195,0.138326147,0.5,0,0.084627,0.199524807,Neuropsych- computer-administered,Verbal learning|memory,173,546,5
CVLT2D_DelayedRecall,-,0.287,1.28E-07,-0.340,0.296,1.47E-08,2.37E-08,yes,Calif Verbal Learning Test/ Delayed Recall,0.10748145,0.198089465,1.94E-08,0.416230003,0.27764645,0.070547011,0.5,0,0.1325928,0.187877027,Neuropsych- computer-administered,Verbal learning|memory,171,544,5
DS_CorrectResponses,-,0.300,4.10E-09,-0.317,0.332,4.76E-11,8.94E-09,yes,Digit Symbol/ number of correct responses-copy,0.00036625,0.670268234,1.27E-05,0.273200512,0.1238061,0.091763549,0.0986197,0.58106569,0.5,0,Neuropsych- computer-administered,Psychomotor speed,167,540,5
FAS_total_correct,-,0.222,9.05E-06,-0.230,0.231,3.58E-06,3.56E-04,yes,Verbal letter fluency/ total correct,0.15229105,0.168233461,3.16E-06,0.318642981,0.0001118,0.4892172,0.47219365,0.044235084,1.05E-05,0.916379816,Neuropsych- computer-administered,verbal fluency,166,530,4
PCET_Correct,-,0.184,1.67E-04,-0.114,0.204,2.34E-05,4.51E-02,yes,Penn Conditional Exclusion Test - number correct,0.5,0,0.0011223,0.199741705,3.18E-05,0.557731431,0.5,0,0.00106245,0.491596319,Neuropsych- computer-administered,Nonverbal abstract reasoning,172,539,5
Trails_LetterSequencingTime,+,0.485,2.11E-12,0.191,0.490,5.36E-14,1.06E-03,yes,Trails_LetterSequencingTime in seconds,0.00169135,0.497830299,2.13E-08,0.489508432,0.3825064,0.043542011,0.5,0,0.2755467,0.125262684,Neuropsych- computer-administered,Psychomotor speed,138,428,3
Trails_NumberLetterSequencingT,+,0.374,4.88E-11,0.311,0.402,2.29E-13,2.51E-07,yes,Trails_NumberLetterSequencing/ Time in seconds,0.00059225,0.53894417,1.05E-07,0.435229124,0.06082735,0.2332154,0.4631896,0.042577556,0.11025495,0.310501497,Neuropsych- computer-administered,Psychomotor speed|set shifting,133,421,3
Trails_NumberSequencingTime,+,0.294,9.10E-07,0.294,0.328,2.20E-08,4.00E-06,yes,Trails_NumberSequencingTime in seconds,0.00089785,0.578798954,0.0005814,0.266188627,0.4053802,0.037538184,0.3233649,0.480860801,0.5,0,Neuropsych- computer-administered,Psychomotor speed,137,449,3
VF_AnimalCorrect,-,0.321,1.10E-07,-0.305,0.339,1.82E-08,4.64E-06,yes,Verbal fluency- animal naming/ number correct,0.0192589,0.385603458,7.65E-06,0.340418043,0.00563155,0.280145321,0.2978292,0.232101178,0.026166,0.333265402,Neuropsych- computer-administered,Verbal fluency,166,530,4
VWM_BacCorr,-,0.324,1.32E-09,-0.175,0.325,1.20E-10,6.79E-03,yes,Verbal working memory - backwards correct,0.29664485,0.109772534,6.96E-07,0.334458912,0.00026755,0.422822662,0.5,0,0.00566305,0.36958174,Neuropsych- computer-administered,Verbal learning|working memory,163,529,5
VWM_ForCorr,-,0.306,1.34E-06,-0.078,0.310,2.71E-07,1.44E-01,yes,Verbal working memory - forward correct,0.05584805,0.420721328,1.31E-05,0.325946996,0.0116341,0.251883216,0.3720626,0.196565782,0.00961805,0.328550502,Neuropsych- computer-administered,Verbal learning|working memory,163,529,5
VWM_LetCorr,-,0.283,1.26E-06,-0.242,0.291,9.49E-08,4.22E-05,yes,Verbal working memory - letter number sequencing correct,0.48447075,0.007407106,3.99E-05,0.288073007,0.02230105,0.244278908,0.5,0,0.1022376,0.197582812,Neuropsych- computer-administered,Verbal learning|working memory,163,529,5
Accumbens,-,0.560,1.05E-14,-0.075,0.568,9.93E-15,1.27E-01,yes,nucleus accumbens volume (mm^3) ,1.52E-05,0.859282187,7.71E-09,0.598606827,0.00065465,0.443527553,0.1444704,0.494897064,0.00305495,0.542350734,MRI|tier1,basalGanglia,153,369,5
Amygdala,-,0.502,2.45E-09,-0.201,0.525,5.23E-11,4.62E-04,yes,amygdala volume (mm^3) ,0.0163933,0.368632022,1.03E-07,0.60065006,0.00056955,0.511683236,0.5,0,0.0002951,0.725951215,MRI|tier1,limbic,153,369,5
BrainStem,-,0.521,1.86E-14,-0.172,0.502,6.71E-14,1.62E-03,yes,brain stem volume (mm^3) ,0.03648525,0.344970031,9.86E-11,0.566789581,0.0004681,0.464613371,0.5,0,0.0057988,0.454067589,MRI|tier1,global,153,369,5
Caudate,-,0.609,8.96E-18,-0.150,0.624,4.90E-19,1.06E-02,yes,caudate volume (mm^3) ,7.81E-07,0.885213596,2.08E-11,0.729238386,1.55E-05,0.699647409,0.32646985,0.182587496,2.59E-06,0.970387062,MRI|tier1,basalGanglia,153,369,5
ccAnterior,-,0.478,1.23E-10,-0.266,0.459,9.44E-11,2.27E-04,yes,anterior corpus callosum volume (mm^3) ,0.1533305,0.196371632,1.02E-06,0.447514972,1.85E-05,0.546825524,0.1969293,0.430358124,0.00047295,0.521817008,MRI|tier1,global,153,369,5
ccCentral,-,0.401,6.10E-08,-0.303,0.364,3.31E-07,5.75E-05,yes,central corpus callosum volume (mm^3) ,0.00235635,0.557027842,0.0001096,0.369386701,0.00046745,0.450966802,0.04096805,0.788874175,0.00346625,0.577890218,MRI|tier1,global,153,369,5
ccMidAnterior,-,0.340,2.82E-07,-0.232,0.315,8.88E-07,1.85E-03,yes,middle anterior corpus callosum volume (mm^3) ,0.0011343,0.52275542,0.00027555,0.363165926,0.00290175,0.380141979,0.2355796,0.270818822,0.0043183,0.550852596,MRI|tier1,global,153,369,5
