FieldName,H2r,H2rPval,BP_pval,Variablefullname,Domain,Construct
anxious_factor,0.222,6.18E-07,1.71E-01,TEMPS anxiety factor,Self-report questionnaire,anxiety
AQ_Sum,0.127,3.66E-03,4.65E-07,Aggression Questionnaire - total score,Self-report questionnaire,hostility|aggressive temperament
BIS30_Total,0.083,7.53E-02,4.00E-12,Barratt impulsivity scale/ total score- 30 items,Self-report questionnaire,impulsivity
cyclothymic_factor,0.081,3.33E-02,3.90E-16,TEMPS cyclothymia subscale,Self-report questionnaire,mood:lability
depressive_factor,0.151,8.59E-04,1.56E-06,TEMPS depressive subscale,Self-report questionnaire,depressive temperament
hyperthymic_factor,0.210,6.94E-05,4.86E-01,TEMPS hyperthymic factor,Self-report questionnaire,mood:elevated
irritable_factor,0.138,2.53E-03,3.22E-05,TEMPS irritability factor,Self-report questionnaire,mood:irritability
PDI_Sum,0.226,3.21E-07,6.67E-12,Peters Delusion Inventory total score,Self-report questionnaire,delusion-proneness
RAD,0.216,3.67E-06,5.61E-05,Barron Welsh Revised Art Scale-Dislike Scale,Self-report questionnaire,Perceptual creativity
RAL,0.167,1.86E-04,1.86E-04,Barron Welsh Revised Art Scale-Like Scale,Self-report questionnaire,Perceptual creativity
SSS_Sum,0.300,3.56E-08,9.99E-03,Sensation Seeking Scale- total score,Self-report questionnaire,sensation-seeking|novelty-seeking
LMIIRaw,0.455,3.60E-16,1.52E-04,WMS Logical Memory-Delay,Neuropsych- paper/pencil (examiner-administered),Verbal learning|memory
LMIRaw,0.355,1.91E-12,1.81E-06,WMS Logical Memory-Immediate,Neuropsych- paper/pencil (examiner-administered),Verbal learning|memory
LMRecTotal,0.331,3.70E-10,1.50E-05,WMS Logical Memory-Recognition,Neuropsych- paper/pencil (examiner-administered),Verbal learning|memory
StroopCWE,0.184,3.99E-04,6.81E-04,Stroop Color-word test of errors,Neuropsych- paper/pencil (examiner-administered),Response inhibition
StroopCWT,0.312,1.63E-07,3.78E-04,Stroop Color-word test time in seconds),Neuropsych- paper/pencil (examiner-administered),Response inhibition
WASIRaw,0.346,1.97E-11,1.57E-01,Raw WASI Vocabulary score,Neuropsych- paper/pencil (examiner-administered),Verbal IQ
WMSIITotal,0.298,4.52E-07,1.18E-03,WMS Visual Reproduction-Delay,Neuropsych- paper/pencil (examiner-administered),Visual learning|memory
WMSITotal,0.369,4.32E-09,4.42E-03,WMS  Visual Reproduction-Immediate,Neuropsych- paper/pencil (examiner-administered),Visual learning|memory
AIM_abs,0.027,2.99E-01,8.73E-04,Abstraction/ Inhibition and Memory test- abstraction condition/ number correct,Neuropsych- computer-administered,executive function
AIM_mem,0.074,7.12E-02,1.19E-01,Abstraction/ Inhibition and Memory test- memory condition/ number correct,Neuropsych- computer-administered,executive function|working memory
BART_Bpumps,0.046,1.51E-01,6.04E-02,Balloon Analog Risk Task - blue pumps (Number of points earned for blue balloons),Neuropsych- computer-administered,risk-taking
BART_Pumps,0.038,1.82E-01,5.09E-02,Balloon Analog Risk Task - Total pumps (Total number of points earned),Neuropsych- computer-administered,risk-taking
BART_Rpumps,0.058,9.16E-02,3.01E-01,Balloon Analog Risk Task -red pumps(Number of points earned for red balloons),Neuropsych- computer-administered,risk-taking
BART_Ypumps,0.000,5.00E-01,3.04E-01,Balloon Analog Risk Task - yellow pumps (Number of points earned for yellow balloons),Neuropsych- computer-administered,risk-taking
CVLT_trials1_5,0.265,5.92E-07,2.40E-05,Calif Verbal Learning Test/  total score trials 1-5,Neuropsych- computer-administered,Verbal learning|memory
CVLT2_Intrusions,0.125,3.00E-03,1.73E-02,Calif Verbal Learning Test/ number of intrusions,Neuropsych- computer-administered,Verbal learning|memory
CVLT2_Repetitions,0.171,7.11E-03,2.49E-01,Calif Verbal Learning Test/ number of repetitions,Neuropsych- computer-administered,Verbal learning|memory
CVLT2D_DelayedRecall,0.284,1.70E-07,2.79E-08,Calif Verbal Learning Test/ Delayed Recall,Neuropsych- computer-administered,Verbal learning|memory
CVLT2D_RecognitionTP,0.108,1.20E-02,8.78E-03,Calif Verbal Learning Test/ Recognition- True Positives,Neuropsych- computer-administered,Verbal learning|memory
DS_CorrectResponses,0.298,6.52E-09,1.25E-08,Digit Symbol/ number of correct responses-copy,Neuropsych- computer-administered,Psychomotor speed
