Fam PID1 PID2 TheoKinship
CO10 39 10 0.25
CO10 11 10 0.25
CO10 12 10 0.25
CO10 15 13 0.25
CO10 16 13 0.25
CO10 14 13 0.25
CO10 19 17 0.25
CO10 18 17 0.25
CO10 27 20 0.0625
CO10 35 20 0.125
CO10 23 20 0.125
CO10 25 20 0.0625
CO10 21 20 0.25
CO10 26 20 0.0625
CO10 25 24 0.25
CO10 26 24 0.25
CO10 27 24 0.25
CO10 2 28 0.25
CO10 12 28 0.0625
CO10 22 28 0.25
CO10 27 28 0.0625
CO10 14 28 0.0625
CO10 30 28 0.25
CO10 38 28 0.125
CO10 3 28 0.125
CO10 23 28 0.125
CO10 7 28 0.125
CO10 16 28 0.0625
CO10 26 28 0.0625
CO10 6 28 0.125
CO10 11 28 0.0625
CO10 15 28 0.0625
CO10 4 28 0.125
CO10 34 28 0.125
CO10 39 28 0.0625
CO10 35 28 0.125
CO10 25 28 0.0625
CO10 9 28 0.125
CO10 18 28 0.0625
CO10 5 28 0.125
CO10 36 28 0.125
CO10 19 28 0.0625
CO10 8 28 0.125
CO10 6 29 0.125
CO10 3 29 0.125
CO10 5 29 0.125
CO10 16 29 0.0625
CO10 22 29 0.25
CO10 4 29 0.125
CO10 25 29 0.0625
CO10 38 29 0.125
CO10 35 29 0.125
CO10 12 29 0.0625
CO10 19 29 0.0625
CO10 2 29 0.25
CO10 36 29 0.125
CO10 15 29 0.0625
CO10 26 29 0.0625
CO10 14 29 0.0625
CO10 7 29 0.125
CO10 30 29 0.25
CO10 34 29 0.125
CO10 39 29 0.0625
CO10 23 29 0.125
CO10 8 29 0.125
CO10 18 29 0.0625
CO10 27 29 0.0625
CO10 11 29 0.0625
CO10 9 29 0.125
CO10 5 31 0.125
CO10 26 31 0.03125
CO10 12 31 0.0625
CO10 6 31 0.125
CO10 19 31 0.0625
CO10 35 31 0.0625
CO10 25 31 0.03125
CO10 8 31 0.125
CO10 14 31 0.0625
CO10 7 31 0.125
CO10 15 31 0.0625
CO10 11 31 0.0625
CO10 16 31 0.0625
CO10 9 31 0.125
CO10 21 31 0.125
CO10 18 31 0.0625
CO10 3 31 0.125
CO10 27 31 0.03125
CO10 1 31 0.25
CO10 39 31 0.0625
CO10 23 31 0.0625
CO10 4 31 0.125
CO10 5 32 0.125
CO10 15 32 0.0625
CO10 6 32 0.125
CO10 14 32 0.0625
CO10 16 32 0.0625
CO10 12 32 0.0625
CO10 26 32 0.03125
CO10 35 32 0.0625
CO10 3 32 0.125
CO10 39 32 0.0625
CO10 25 32 0.03125
CO10 9 32 0.125
CO10 18 32 0.0625
CO10 19 32 0.0625
CO10 27 32 0.03125
CO10 1 32 0.25
CO10 7 32 0.125
CO10 23 32 0.0625
CO10 21 32 0.125
CO10 4 32 0.125
CO10 11 32 0.0625
CO10 8 32 0.125
CO10 38 33 0.25
CO10 36 33 0.25
CO10 34 33 0.25
CO10 35 2 0.125
CO10 25 2 0.0625
CO10 15 2 0.125
CO10 16 2 0.125
CO10 39 2 0.125
CO10 11 2 0.125
CO10 6 2 0.25
CO10 22 2 0.25
CO10 27 2 0.0625
CO10 38 2 0.125
CO10 18 2 0.125
CO10 7 2 0.25
CO10 3 2 0.25
CO10 8 2 0.25
CO10 23 2 0.125
CO10 19 2 0.125
CO10 5 2 0.25
CO10 26 2 0.0625
CO10 30 2 0.25
CO10 34 2 0.125
CO10 14 2 0.125
CO10 9 2 0.25
CO10 36 2 0.125
CO10 12 2 0.125
CO10 4 2 0.25
CO10 25 22 0.125
CO10 19 22 0.0625
CO10 3 22 0.125
CO10 7 22 0.125
CO10 6 22 0.125
CO10 16 22 0.0625
CO10 23 22 0.25
CO10 9 22 0.125
CO10 4 22 0.125
CO10 5 22 0.125
CO10 26 22 0.125
CO10 15 22 0.0625
CO10 35 22 0.25
CO10 8 22 0.125
CO10 14 22 0.0625
CO10 34 22 0.125
CO10 39 22 0.0625
CO10 27 22 0.125
CO10 12 22 0.0625
CO10 36 22 0.125
CO10 30 22 0.25
CO10 18 22 0.0625
CO10 11 22 0.0625
CO10 38 22 0.125
CO10 16 30 0.0625
CO10 12 30 0.0625
CO10 18 30 0.0625
CO10 25 30 0.0625
CO10 15 30 0.0625
CO10 3 30 0.125
CO10 19 30 0.0625
CO10 11 30 0.0625
CO10 6 30 0.125
CO10 5 30 0.125
CO10 38 30 0.25
CO10 35 30 0.125
CO10 7 30 0.125
CO10 4 30 0.125
CO10 9 30 0.125
CO10 26 30 0.0625
CO10 14 30 0.0625
CO10 8 30 0.125
CO10 34 30 0.25
CO10 39 30 0.0625
CO10 27 30 0.0625
CO10 36 30 0.25
CO10 23 30 0.125
CO10 12 1 0.125
CO10 25 1 0.0625
CO10 6 1 0.25
CO10 4 1 0.25
CO10 18 1 0.125
CO10 15 1 0.125
CO10 3 1 0.25
CO10 7 1 0.25
CO10 19 1 0.125
CO10 8 1 0.25
CO10 5 1 0.25
CO10 16 1 0.125
CO10 27 1 0.0625
CO10 35 1 0.125
CO10 11 1 0.125
CO10 39 1 0.125
CO10 23 1 0.125
CO10 21 1 0.25
CO10 26 1 0.0625
CO10 14 1 0.125
CO10 9 1 0.25
CO10 16 3 0.125
CO10 6 3 0.25
CO10 25 3 0.0625
CO10 15 3 0.125
CO10 7 3 0.25
CO10 4 3 0.25
CO10 35 3 0.125
CO10 8 3 0.25
CO10 18 3 0.125
CO10 19 3 0.125
CO10 39 3 0.25
CO10 14 3 0.125
CO10 36 3 0.0625
CO10 11 3 0.25
CO10 9 3 0.25
CO10 12 3 0.25
CO10 26 3 0.0625
CO10 5 3 0.25
CO10 34 3 0.0625
CO10 27 3 0.0625
CO10 21 3 0.125
CO10 23 3 0.125
CO10 38 3 0.0625
CO10 7 4 0.25
CO10 25 4 0.0625
CO10 6 4 0.25
CO10 16 4 0.25
CO10 18 4 0.125
CO10 8 4 0.25
CO10 39 4 0.125
CO10 14 4 0.25
CO10 19 4 0.125
CO10 35 4 0.125
CO10 27 4 0.0625
CO10 12 4 0.125
CO10 34 4 0.0625
CO10 11 4 0.125
CO10 15 4 0.25
CO10 9 4 0.25
CO10 36 4 0.0625
CO10 5 4 0.25
CO10 23 4 0.125
CO10 26 4 0.0625
CO10 38 4 0.0625
CO10 21 4 0.125
CO10 18 5 0.25
CO10 35 5 0.125
CO10 19 5 0.25
CO10 6 5 0.25
CO10 7 5 0.25
CO10 11 5 0.125
CO10 8 5 0.25
CO10 9 5 0.25
CO10 25 5 0.0625
CO10 16 5 0.125
CO10 39 5 0.125
CO10 36 5 0.0625
CO10 14 5 0.125
CO10 34 5 0.0625
CO10 27 5 0.0625
CO10 21 5 0.125
CO10 12 5 0.125
CO10 15 5 0.125
CO10 26 5 0.0625
CO10 23 5 0.125
CO10 38 5 0.0625
CO10 16 6 0.125
CO10 35 6 0.125
CO10 19 6 0.125
CO10 8 6 0.25
CO10 14 6 0.125
CO10 21 6 0.125
CO10 11 6 0.125
CO10 18 6 0.125
CO10 7 6 0.25
CO10 38 6 0.0625
CO10 23 6 0.125
CO10 39 6 0.125
CO10 36 6 0.0625
CO10 26 6 0.0625
CO10 9 6 0.25
CO10 27 6 0.0625
CO10 25 6 0.0625
CO10 15 6 0.125
CO10 12 6 0.125
CO10 34 6 0.0625
CO10 18 7 0.125
CO10 14 7 0.125
CO10 19 7 0.125
CO10 16 7 0.125
CO10 27 7 0.0625
CO10 39 7 0.125
CO10 23 7 0.125
CO10 21 7 0.125
CO10 8 7 0.25
CO10 15 7 0.125
CO10 35 7 0.125
CO10 9 7 0.25
