FieldName,PlotName,PlotGroup,PlotDomain
anxious_factor,TEMPS Anxiety,Affective Temperament,Temperament
AQ_Sum,Aggression Questionnaire,Impulsivity/Risk-taking,Temperament
BIS30_Total,Barratt Impulsivity Scale,Impulsivity/Risk-taking,Temperament
cyclothymic_factor,TEMPS Cyclothymia,Affective Temperament,Temperament
depressive_factor,TEMPS Depressive,Affective Temperament,Temperament
hyperthymic_factor,TEMPS Hyperthymia,Affective Temperament,Temperament
irritable_factor,TEMPS Irritability,Affective Temperament,Temperament
PDI_Sum,Peters Delusion Inventory,Psychosis-proneness,Temperament
RAD,Barron Welsh Art Scale Dislike,Perceptual creativity,Temperament
RAL,Barron Welsh Art Scale Like,Perceptual creativity,Temperament
SSS_Sum,Sensation Seeking Scale,Impulsivity/Risk-taking,Temperament
LMIIRaw,WMS Logical Memory Delay,Long Term Memory,Neurocognition
LMIRaw,WMS Logical Memory Immediate,Long Term Memory,Neurocognition
LMRecTotal,WMS Logical Memory Recognition,Long Term Memory,Neurocognition
StroopCWE,Stroop Color Word Test Errors,Executive Function,Neurocognition
StroopCWT,Stroop Color Word Test Time,Executive Function,Neurocognition
WASIRaw,WASI Vocabulary,Executive Function,Neurocognition
WMSIITotal,WMS Visual Reproduction Delay,Long Term Memory,Neurocognition
WMSITotal,WMS Visual Reproduction Immediate,Long Term Memory,Neurocognition
AIM_abs,AIM Abstraction,Executive Function,Neurocognition
AIM_mem,AIM Memory,Working Memory,Neurocognition
BART_Bpumps,BART Blue Pumps,Impulsivity/Risk-taking,Temperament
BART_Pumps,BART Total Pumps,Impulsivity/Risk-taking,Temperament
BART_Rpumps,BART Red Pumps,Impulsivity/Risk-taking,Temperament
BART_Ypumps,BART Yellow Pumps,Impulsivity/Risk-taking,Temperament
CVLT_trials1_5,CVLT Total Trials 1-5,Long Term Memory,Neurocognition
CVLT2_Intrusions,CVLT Intrusions,Long Term Memory,Neurocognition
CVLT2_Repetitions,CVLT Repetitions,Long Term Memory,Neurocognition
CVLT2D_DelayedRecall,CVLT Delayed Recall,Long Term Memory,Neurocognition
CVLT2D_RecognitionTP,CVLT Recognition,Long Term Memory,Neurocognition
DS_CorrectResponses,Digit Symbol Copy,Processing Speed,Neurocognition
DS_MemoryCorrect,Digit Symbol Recall,Processing Speed,Neurocognition
DS_percentcorrect,Digit Symbol Percent Correct,Processing Speed,Neurocognition
FaceMemD_Correct,Face Memory,Long Term Memory,Neurocognition
FAS_total_correct,Verbal Letter Fluency,Verbal Fluency,Neurocognition
IPCPT_Hits,IPCPT Hits,Working Memory,Neurocognition
IPCPT_Misses,IPCPT Misses,Working Memory,Neurocognition
MR_percent_correct,Matrix Reasoning,Executive Function,Neurocognition
PCET_Categories,PCET Categories Achieved,Executive Function,Neurocognition
PCET_Correct,PCET  Num  Correct,Executive Function,Neurocognition
SCAP_Load3Correct,SCAP  Num  Correct 3 Dot Condition,Working Memory,Neurocognition
